,price,model_year,manufacturer,model,date_posted,days_listed,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,age
542,13990,2006,chevrolet,silverado 2500hd,2018-05-08,27,excellent,8.0,diesel,175192,automatic,pickup,grey,1.0,18
543,9700,2004,chevrolet,silverado 2500hd,2018-05-20,49,excellent,8.0,gas,147888,automatic,truck,blue,1.0,20
545,35988,2016,ford,f-350 sd,2018-12-31,34,good,8.0,diesel,182079,automatic,truck,black,1.0,8
548,35000,2013,chevrolet,silverado,2018-09-14,17,good,8.0,diesel,85000,automatic,truck,white,1.0,11
549,7800,1997,toyota,tacoma,2018-06-28,89,good,6.0,gas,212234,automatic,truck,white,1.0,27
553,2000,2007,jeep,liberty,2018-10-13,11,fair,8.0,gas,128000,automatic,SUV,red,1.0,17
554,8990,2008,chevrolet,colorado,2018-08-07,78,excellent,5.0,gas,120477,automatic,pickup,black,1.0,16
562,19900,2011,gmc,yukon,2019-03-11,30,excellent,8.0,gas,82563,automatic,SUV,white,1.0,13
568,10700,2007,chevrolet,silverado 1500,2019-01-20,48,excellent,8.0,gas,170304,automatic,truck,red,1.0,17
569,7900,2001,jeep,wrangler,2018-11-28,128,excellent,4.0,gas,231089,manual,SUV,yellow,1.0,23
571,7900,2015,volkswagen,jetta,2019-01-17,12,like new,4.0,gas,82000,automatic,sedan,black,1.0,9
578,6500,1998,jeep,wrangler,2018-07-03,20,excellent,4.0,gas,94000,automatic,SUV,white,1.0,26
579,27995,2017,ford,f250,2018-12-10,29,excellent,8.0,gas,103366,automatic,truck,other,1.0,7
583,25495,2017,chevrolet,silverado,2019-02-26,10,excellent,6.0,gas,89884,automatic,truck,white,1.0,7
584,14995,2007,chevrolet,silverado 2500hd,2018-08-19,11,good,8.0,gas,100064,automatic,pickup,black,1.0,17
587,4900,2010,ford,escape,2019-03-22,36,excellent,6.0,gas,125000,automatic,SUV,blue,1.0,14
591,12995,2013,chevrolet,suburban,2018-05-21,21,excellent,8.0,gas,187356,automatic,SUV,silver,1.0,11
595,3500,2002,gmc,sierra 1500,2018-05-06,65,fair,8.0,gas,205000,automatic,pickup,other,1.0,22
597,15750,2016,ford,fusion,2019-04-15,10,excellent,4.0,gas,41272,automatic,sedan,silver,1.0,8
598,13000,2011,honda,pilot,2018-07-19,3,excellent,6.0,gas,123048,automatic,SUV,grey,1.0,13
